"cutoff_band","region","distance_km","shock_station","line","shock_year","baseline_hospital_no","baseline_doctor_no"
"20-30km","경북 고령군",26.5,"서대구역","경부선",2022,10,22
"20-30km","경북 성주군",23.4,"김천(구미)역","경부고속",2011,20,36
"20-30km","경북 영천시",29.9,"신경주역","경부고속",2011,59,118
"20-30km","경북 예천군",23.2,"영주역","중앙선(도담-경주)",2021,19,37
"20-30km","경북 의성군",24.5,"안동역","중앙선(도담-경주)",2021,24,55
"20-30km","전남 담양군",28.1,"곡성역","전라선",2012,28,63
"20-30km","전남 영암군",21.7,"목포역","호남선",2015,22,49
"20-30km","전남 장성군",21.4,"광주송정역","호남고속",2015,23,46
"20-30km","전남 해남군",28.2,"목포역","호남선",2015,41,97
"20-30km","전남 화순군",26.3,"광주송정역","호남고속",2015,34,214
"20-30km","전북 고창군",24.9,"정읍역","호남고속",2015,29,68
"20-30km","전북 부안군",22,"정읍역","호남고속",2015,34,73
"20-30km","전북 순창군",24.7,"남원역","전라선",2012,14,31
"20-30km","전북 임실군",23.6,"남원역","전라선",2012,15,39
"20-30km","전북 진안군",24.4,"전주역","전라선",2012,12,29
"20-30km","충남 청양군",24.4,"공주역","호남고속",2015,10,32
"20-30km","충북 진천군",29.4,"오송역","경부고속",2011,26,51
"30-40km","강원 양양군",37.8,"강릉역","경강선(강릉선)",2018,6,13
"30-40km","강원 정선군",36.5,"동해역","영동선",2020,11,32
"30-40km","강원 태백시",38.3,"동해역","영동선",2020,30,52
"30-40km","경남 함양군",36.3,"남원역","전라선",2012,20,40
"30-40km","경북 문경시",35.8,"단양역","중앙선(도담-경주)",2021,42,85
"30-40km","경북 봉화군",30.6,"영주역","중앙선(도담-경주)",2021,7,26
"30-40km","경북 상주시",36.5,"김천(구미)역","경부고속",2011,45,100
"30-40km","경북 영양군",39.9,"안동역","중앙선(도담-경주)",2021,3,12
"30-40km","경북 청송군",37.1,"안동역","중앙선(도담-경주)",2021,9,26
"30-40km","전남 고흥군",36.8,"여천역","전라선",2012,37,93
"30-40km","전남 보성군",34.2,"순천역","전라선",2012,27,59
"30-40km","전남 신안군",31.5,"목포역","호남선",2015,11,22
"30-40km","전남 영광군",34.8,"광주송정역","호남고속",2015,34,89
"30-40km","전북 장수군",32,"남원역","전라선",2012,8,19
"30-40km","충북 증평군",30.7,"오송역","경부고속",2011,19,24
"30-40km","충북 충주시",37.9,"만종역","경강선(강릉선)",2018,107,259
"40-50km","강원 평창군",43.3,"강릉역","경강선(강릉선)",2018,11,31
"40-50km","강원 홍천군",45.9,"만종역","경강선(강릉선)",2018,32,82
"40-50km","경남 거창군",49.1,"김천(구미)역","경부고속",2011,27,60
"40-50km","경남 통영시",49.1,"마산역","경전선",2011,67,101
"40-50km","경남 합천군",43.9,"진주역","경전선",2013,21,54
"40-50km","경북 영덕군",49.7,"포항역","동해선",2015,20,37
"40-50km","전남 강진군",40.1,"목포역","호남선",2015,20,48
"40-50km","전남 장흥군",42,"나주역","호남선",2015,26,54
"40-50km","전남 진도군",42.4,"목포역","호남선",2015,15,29
"40-50km","전북 무주군",46.4,"김천(구미)역","경부고속",2011,10,20
"40-50km","충북 괴산군",47.7,"오송역","경부고속",2011,15,33
