"region_sido","region_sigungu","region","year","hospital_no"
"강원","춘천시","강원 춘천시",2016,0
"강원","춘천시","강원 춘천시",2017,0
"강원","춘천시","강원 춘천시",2018,0
"강원","춘천시","강원 춘천시",2019,0
"강원","춘천시","강원 춘천시",2020,0
"강원","춘천시","강원 춘천시",2021,0
"강원","춘천시","강원 춘천시",2022,0
"강원","춘천시","강원 춘천시",2023,0
"강원","춘천시","강원 춘천시",2024,0
"강원","춘천시","강원 춘천시",2025,0
"경남","양산시","경남 양산시",2007,0
"경남","양산시","경남 양산시",2008,0
"경남","양산시","경남 양산시",2009,0
"경남","양산시","경남 양산시",2010,0
"경남","양산시","경남 양산시",2011,0
"경남","양산시","경남 양산시",2012,0
"경남","양산시","경남 양산시",2013,0
"경남","양산시","경남 양산시",2014,0
"경남","양산시","경남 양산시",2015,1
"경남","양산시","경남 양산시",2016,1
"경남","양산시","경남 양산시",2017,1
"경남","양산시","경남 양산시",2018,1
"경남","양산시","경남 양산시",2019,1
"경남","양산시","경남 양산시",2020,1
"경남","양산시","경남 양산시",2021,1
"경남","양산시","경남 양산시",2022,1
"경남","양산시","경남 양산시",2023,1
"경남","양산시","경남 양산시",2024,1
"경남","양산시","경남 양산시",2025,1
"경남","진주시","경남 진주시",2007,1
"경남","진주시","경남 진주시",2008,1
"경남","진주시","경남 진주시",2009,1
"경남","진주시","경남 진주시",2010,1
"경남","진주시","경남 진주시",2011,1
"경남","진주시","경남 진주시",2012,1
"경남","진주시","경남 진주시",2013,1
"경남","진주시","경남 진주시",2014,1
"경남","진주시","경남 진주시",2015,1
"경남","진주시","경남 진주시",2016,1
"경남","진주시","경남 진주시",2017,1
"경남","진주시","경남 진주시",2018,1
"경남","진주시","경남 진주시",2019,1
"경남","진주시","경남 진주시",2020,1
"경남","진주시","경남 진주시",2021,1
"경남","진주시","경남 진주시",2022,1
"경남","진주시","경남 진주시",2023,1
"경남","진주시","경남 진주시",2024,1
"경남","진주시","경남 진주시",2025,1
"경남","창원시","경남 창원시",2007,0
"경남","창원시","경남 창원시",2008,0
"경남","창원시","경남 창원시",2009,0
"경남","창원시","경남 창원시",2010,0
"경남","창원시","경남 창원시",2011,0
"경남","창원시","경남 창원시",2012,0
"경남","창원시","경남 창원시",2013,0
"경남","창원시","경남 창원시",2014,0
"경남","창원시","경남 창원시",2015,0
"경남","창원시","경남 창원시",2016,0
"경남","창원시","경남 창원시",2017,0
"경남","창원시","경남 창원시",2018,0
"경남","창원시","경남 창원시",2019,0
"경남","창원시","경남 창원시",2020,0
"경남","창원시","경남 창원시",2021,1
"경남","창원시","경남 창원시",2022,1
"경남","창원시","경남 창원시",2023,1
"경남","창원시","경남 창원시",2024,1
"경남","창원시","경남 창원시",2025,1
"광주","동구","광주 동구",2007,2
"광주","동구","광주 동구",2008,2
"광주","동구","광주 동구",2009,2
"광주","동구","광주 동구",2010,2
"광주","동구","광주 동구",2011,2
"광주","동구","광주 동구",2012,2
"광주","동구","광주 동구",2013,2
"광주","동구","광주 동구",2014,2
"광주","동구","광주 동구",2015,2
"광주","동구","광주 동구",2016,2
"광주","동구","광주 동구",2017,2
"광주","동구","광주 동구",2018,2
"광주","동구","광주 동구",2019,2
"광주","동구","광주 동구",2020,2
"광주","동구","광주 동구",2021,2
"광주","동구","광주 동구",2022,2
"광주","동구","광주 동구",2023,2
"광주","동구","광주 동구",2024,2
"광주","동구","광주 동구",2025,2
"대구","남구","대구 남구",2007,2
"대구","남구","대구 남구",2008,2
"대구","남구","대구 남구",2009,2
"대구","남구","대구 남구",2010,2
"대구","남구","대구 남구",2011,2
"대구","남구","대구 남구",2012,2
"대구","남구","대구 남구",2013,2
"대구","남구","대구 남구",2014,2
"대구","남구","대구 남구",2015,2
"대구","남구","대구 남구",2016,2
"대구","남구","대구 남구",2017,2
"대구","남구","대구 남구",2018,2
"대구","남구","대구 남구",2019,2
"대구","남구","대구 남구",2020,2
"대구","남구","대구 남구",2021,2
"대구","남구","대구 남구",2022,2
"대구","남구","대구 남구",2023,2
"대구","남구","대구 남구",2024,2
"대구","남구","대구 남구",2025,2
"대구","달서구","대구 달서구",2007,0
"대구","달서구","대구 달서구",2008,0
"대구","달서구","대구 달서구",2009,0
"대구","달서구","대구 달서구",2010,0
"대구","달서구","대구 달서구",2011,0
"대구","달서구","대구 달서구",2012,0
"대구","달서구","대구 달서구",2013,0
"대구","달서구","대구 달서구",2014,0
"대구","달서구","대구 달서구",2015,0
"대구","달서구","대구 달서구",2016,0
"대구","달서구","대구 달서구",2017,0
"대구","달서구","대구 달서구",2018,0
"대구","달서구","대구 달서구",2019,0
"대구","달서구","대구 달서구",2020,1
"대구","달서구","대구 달서구",2021,1
"대구","달서구","대구 달서구",2022,1
"대구","달서구","대구 달서구",2023,1
"대구","달서구","대구 달서구",2024,1
"대구","달서구","대구 달서구",2025,1
"대구","북구","대구 북구",2007,0
"대구","북구","대구 북구",2008,0
"대구","북구","대구 북구",2009,0
"대구","북구","대구 북구",2010,0
"대구","북구","대구 북구",2011,0
"대구","북구","대구 북구",2012,0
"대구","북구","대구 북구",2013,0
"대구","북구","대구 북구",2014,0
"대구","북구","대구 북구",2015,0
"대구","북구","대구 북구",2016,0
"대구","북구","대구 북구",2017,0
"대구","북구","대구 북구",2018,1
"대구","북구","대구 북구",2019,1
"대구","북구","대구 북구",2020,1
"대구","북구","대구 북구",2021,1
"대구","북구","대구 북구",2022,1
"대구","북구","대구 북구",2023,1
"대구","북구","대구 북구",2024,1
"대구","북구","대구 북구",2025,1
"대구","중구","대구 중구",2007,2
"대구","중구","대구 중구",2008,2
"대구","중구","대구 중구",2009,2
"대구","중구","대구 중구",2010,2
"대구","중구","대구 중구",2011,2
"대구","중구","대구 중구",2012,2
"대구","중구","대구 중구",2013,2
"대구","중구","대구 중구",2014,2
"대구","중구","대구 중구",2015,2
"대구","중구","대구 중구",2016,2
"대구","중구","대구 중구",2017,2
"대구","중구","대구 중구",2018,2
"대구","중구","대구 중구",2019,2
"대구","중구","대구 중구",2020,1
"대구","중구","대구 중구",2021,1
"대구","중구","대구 중구",2022,1
"대구","중구","대구 중구",2023,1
"대구","중구","대구 중구",2024,1
"대구","중구","대구 중구",2025,1
"대전","서구","대전 서구",2007,1
"대전","서구","대전 서구",2008,1
"대전","서구","대전 서구",2009,1
"대전","서구","대전 서구",2010,1
"대전","서구","대전 서구",2011,1
"대전","서구","대전 서구",2012,0
"대전","서구","대전 서구",2013,0
"대전","서구","대전 서구",2014,0
"대전","서구","대전 서구",2015,0
"대전","서구","대전 서구",2016,0
"대전","서구","대전 서구",2017,0
"대전","서구","대전 서구",2018,0
"대전","서구","대전 서구",2019,0
"대전","서구","대전 서구",2020,0
"대전","서구","대전 서구",2021,0
"대전","서구","대전 서구",2022,0
"대전","서구","대전 서구",2023,0
"대전","서구","대전 서구",2024,1
"대전","서구","대전 서구",2025,1
"대전","중구","대전 중구",2007,1
"대전","중구","대전 중구",2008,1
"대전","중구","대전 중구",2009,1
"대전","중구","대전 중구",2010,1
"대전","중구","대전 중구",2011,1
"대전","중구","대전 중구",2012,1
"대전","중구","대전 중구",2013,1
"대전","중구","대전 중구",2014,1
"대전","중구","대전 중구",2015,1
"대전","중구","대전 중구",2016,1
"대전","중구","대전 중구",2017,1
"대전","중구","대전 중구",2018,1
"대전","중구","대전 중구",2019,1
"대전","중구","대전 중구",2020,1
"대전","중구","대전 중구",2021,1
"대전","중구","대전 중구",2022,1
"대전","중구","대전 중구",2023,1
"대전","중구","대전 중구",2024,1
"대전","중구","대전 중구",2025,1
"부산","부산진구","부산 부산진구",2007,1
"부산","부산진구","부산 부산진구",2008,1
"부산","부산진구","부산 부산진구",2009,1
"부산","부산진구","부산 부산진구",2010,1
"부산","부산진구","부산 부산진구",2011,1
"부산","부산진구","부산 부산진구",2012,1
"부산","부산진구","부산 부산진구",2013,1
"부산","부산진구","부산 부산진구",2014,1
"부산","부산진구","부산 부산진구",2015,1
"부산","부산진구","부산 부산진구",2016,1
"부산","부산진구","부산 부산진구",2017,1
"부산","부산진구","부산 부산진구",2018,1
"부산","부산진구","부산 부산진구",2019,1
"부산","부산진구","부산 부산진구",2020,1
"부산","부산진구","부산 부산진구",2021,1
"부산","부산진구","부산 부산진구",2022,1
"부산","부산진구","부산 부산진구",2023,1
"부산","부산진구","부산 부산진구",2024,1
"부산","부산진구","부산 부산진구",2025,1
"부산","서구","부산 서구",2007,3
"부산","서구","부산 서구",2008,3
"부산","서구","부산 서구",2009,3
"부산","서구","부산 서구",2010,3
"부산","서구","부산 서구",2011,3
"부산","서구","부산 서구",2012,3
"부산","서구","부산 서구",2013,3
"부산","서구","부산 서구",2014,3
"부산","서구","부산 서구",2015,3
"부산","서구","부산 서구",2016,3
"부산","서구","부산 서구",2017,3
"부산","서구","부산 서구",2018,3
"부산","서구","부산 서구",2019,3
"부산","서구","부산 서구",2020,3
"부산","서구","부산 서구",2021,2
"부산","서구","부산 서구",2022,2
"부산","서구","부산 서구",2023,2
"부산","서구","부산 서구",2024,3
"부산","서구","부산 서구",2025,3
"울산","동구","울산 동구",2007,0
"울산","동구","울산 동구",2008,0
"울산","동구","울산 동구",2009,0
"울산","동구","울산 동구",2010,0
"울산","동구","울산 동구",2011,0
"울산","동구","울산 동구",2012,0
"울산","동구","울산 동구",2013,0
"울산","동구","울산 동구",2014,0
"울산","동구","울산 동구",2015,1
"울산","동구","울산 동구",2016,1
"울산","동구","울산 동구",2017,1
"울산","동구","울산 동구",2018,0
"울산","동구","울산 동구",2019,0
"울산","동구","울산 동구",2020,0
"울산","동구","울산 동구",2021,1
"울산","동구","울산 동구",2022,1
"울산","동구","울산 동구",2023,1
"울산","동구","울산 동구",2024,1
"울산","동구","울산 동구",2025,1
"전남","화순군","전남 화순군",2007,0
"전남","화순군","전남 화순군",2008,0
"전남","화순군","전남 화순군",2009,0
"전남","화순군","전남 화순군",2010,0
"전남","화순군","전남 화순군",2011,0
"전남","화순군","전남 화순군",2012,1
"전남","화순군","전남 화순군",2013,1
"전남","화순군","전남 화순군",2014,1
"전남","화순군","전남 화순군",2015,1
"전남","화순군","전남 화순군",2016,1
"전남","화순군","전남 화순군",2017,1
"전남","화순군","전남 화순군",2018,1
"전남","화순군","전남 화순군",2019,1
"전남","화순군","전남 화순군",2020,1
"전남","화순군","전남 화순군",2021,1
"전남","화순군","전남 화순군",2022,1
"전남","화순군","전남 화순군",2023,1
"전남","화순군","전남 화순군",2024,1
"전남","화순군","전남 화순군",2025,1
"전북","익산시","전북 익산시",2007,1
"전북","익산시","전북 익산시",2008,1
"전북","익산시","전북 익산시",2009,1
"전북","익산시","전북 익산시",2010,1
"전북","익산시","전북 익산시",2011,1
"전북","익산시","전북 익산시",2012,1
"전북","익산시","전북 익산시",2013,1
"전북","익산시","전북 익산시",2014,1
"전북","익산시","전북 익산시",2015,1
"전북","익산시","전북 익산시",2016,1
"전북","익산시","전북 익산시",2017,1
"전북","익산시","전북 익산시",2018,1
"전북","익산시","전북 익산시",2019,1
"전북","익산시","전북 익산시",2020,1
"전북","익산시","전북 익산시",2021,1
"전북","익산시","전북 익산시",2022,1
"전북","익산시","전북 익산시",2023,1
"전북","익산시","전북 익산시",2024,1
"전북","익산시","전북 익산시",2025,1
"전북","전주시 덕진구","전북 전주시 덕진구",2007,1
"전북","전주시 덕진구","전북 전주시 덕진구",2008,1
"전북","전주시 덕진구","전북 전주시 덕진구",2009,1
"전북","전주시 덕진구","전북 전주시 덕진구",2010,1
"전북","전주시 덕진구","전북 전주시 덕진구",2011,1
"전북","전주시 덕진구","전북 전주시 덕진구",2012,1
"전북","전주시 덕진구","전북 전주시 덕진구",2013,1
"전북","전주시 덕진구","전북 전주시 덕진구",2014,1
"전북","전주시 덕진구","전북 전주시 덕진구",2015,1
"전북","전주시 덕진구","전북 전주시 덕진구",2016,1
"전북","전주시 덕진구","전북 전주시 덕진구",2017,1
"전북","전주시 덕진구","전북 전주시 덕진구",2018,1
"전북","전주시 덕진구","전북 전주시 덕진구",2019,1
"전북","전주시 덕진구","전북 전주시 덕진구",2020,1
"전북","전주시 덕진구","전북 전주시 덕진구",2021,1
"전북","전주시 덕진구","전북 전주시 덕진구",2022,1
"전북","전주시 덕진구","전북 전주시 덕진구",2023,1
"전북","전주시 덕진구","전북 전주시 덕진구",2024,1
"전북","전주시 덕진구","전북 전주시 덕진구",2025,1
"충남","천안시","충남 천안시",2007,2
"충남","천안시","충남 천안시",2008,2
"충남","천안시","충남 천안시",2009,2
"충남","천안시","충남 천안시",2010,2
"충남","천안시","충남 천안시",2011,2
"충남","천안시","충남 천안시",2012,2
"충남","천안시","충남 천안시",2013,2
"충남","천안시","충남 천안시",2014,2
"충남","천안시","충남 천안시",2015,2
"충남","천안시","충남 천안시",2016,2
"충남","천안시","충남 천안시",2017,2
"충남","천안시","충남 천안시",2018,2
"충남","천안시","충남 천안시",2019,2
"충남","천안시","충남 천안시",2020,2
"충남","천안시","충남 천안시",2021,2
"충남","천안시","충남 천안시",2022,2
"충남","천안시","충남 천안시",2023,2
"충남","천안시","충남 천안시",2024,1
"충남","천안시","충남 천안시",2025,1
